Data,P2,P3,TOTAL,DIFERENCA_1
2025-01-01,5,6,11,
2025-01-02,5,38,43,32.0
2025-01-03,11,40,51,8.0
2025-01-04,139,10,149,98.0
2025-01-05,11,7,18,-131.0
2025-01-06,32,53,85,67.0
2025-01-07,15,49,64,-21.0
2025-01-08,27,94,121,57.0
2025-01-09,37,122,159,38.0
2025-01-10,13,63,76,-83.0
2025-01-11,23,34,57,-19.0
2025-01-12,12,20,32,-25.0
2025-01-13,45,73,118,86.0
2025-01-14,24,81,105,-13.0
2025-01-15,73,100,173,68.0
2025-01-16,82,85,167,-6.0
2025-01-17,25,84,109,-58.0
2025-01-18,15,37,52,-57.0
2025-01-19,9,28,37,-15.0
2025-01-20,17,69,86,49.0
2025-01-21,21,72,93,7.0
2025-01-22,26,80,106,13.0
2025-01-23,37,68,105,-1.0
2025-01-24,20,63,83,-22.0
2025-01-25,26,71,97,14.0
2025-01-26,36,24,60,-37.0
2025-01-27,35,80,115,55.0
2025-01-28,30,107,137,22.0
2025-01-29,25,92,117,-20.0
2025-01-30,39,175,214,97.0
2025-01-31,21,71,92,-122.0
2025-02-01,8,30,38,-54.0
2025-02-02,15,28,43,5.0
2025-02-03,33,153,186,143.0
2025-02-04,23,87,110,-76.0
2025-02-05,32,81,113,3.0
2025-02-06,28,114,142,29.0
2025-02-07,20,83,103,-39.0
2025-02-08,16,22,38,-65.0
2025-02-09,13,20,33,-5.0
2025-02-10,35,86,121,88.0
2025-02-11,50,74,124,3.0
2025-02-12,41,92,133,9.0
2025-02-13,24,65,89,-44.0
2025-02-14,20,71,91,2.0
2025-02-15,11,58,69,-22.0
2025-02-16,15,42,57,-12.0
2025-02-17,28,72,100,43.0
2025-02-18,19,108,127,27.0
2025-02-19,18,141,159,32.0
2025-02-20,33,126,159,0.0
2025-02-21,41,114,155,-4.0
2025-02-22,17,41,58,-97.0
2025-02-23,25,67,92,34.0
2025-02-24,23,81,104,12.0
2025-02-25,22,83,105,1.0
2025-02-26,21,114,135,30.0
2025-02-27,41,84,125,-10.0
2025-02-28,33,79,112,-13.0
2025-03-01,18,32,50,-62.0
2025-03-02,16,16,32,-18.0
2025-03-03,11,21,32,0.0
2025-03-04,7,20,27,-5.0
2025-03-05,23,61,84,57.0
2025-03-06,25,97,122,38.0
2025-03-07,23,84,107,-15.0
2025-03-08,14,97,111,4.0
2025-03-09,12,16,28,-83.0
2025-03-10,27,68,95,67.0
2025-03-11,56,100,156,61.0
2025-03-12,33,96,129,-27.0
2025-03-13,41,90,131,2.0
2025-03-14,15,111,126,-5.0
2025-03-15,13,18,31,-95.0
2025-03-16,20,30,50,19.0
2025-03-17,20,188,208,158.0
2025-03-18,20,78,98,-110.0
2025-03-19,128,103,231,133.0
2025-03-20,26,95,121,-110.0
2025-03-21,36,94,130,9.0
2025-03-22,14,51,65,-65.0
2025-03-23,8,26,34,-31.0
2025-03-24,18,72,90,56.0
2025-03-25,18,110,128,38.0
2025-03-26,30,77,107,-21.0
2025-03-27,22,77,99,-8.0
2025-03-28,23,75,98,-1.0
2025-03-29,7,30,37,-61.0
2025-03-30,13,22,35,-2.0
2025-03-31,37,54,91,56.0
2025-04-01,28,79,107,16.0
2025-04-02,14,108,122,15.0
2025-04-03,35,95,130,8.0
2025-04-04,22,126,148,18.0
2025-04-05,8,77,85,-63.0
2025-04-06,10,19,29,-56.0
2025-04-07,28,78,106,77.0
2025-04-08,9,93,102,-4.0
2025-04-09,18,73,91,-11.0
2025-04-10,14,72,86,-5.0
2025-04-11,9,52,61,-25.0
2025-04-12,9,27,36,-25.0
2025-04-13,12,22,34,-2.0
2025-04-14,19,72,91,57.0
2025-04-15,32,54,86,-5.0
2025-04-16,14,67,81,-5.0
2025-04-17,14,94,108,27.0
2025-04-18,14,41,55,-53.0
2025-04-19,7,35,42,-13.0
2025-04-20,7,13,20,-22.0
2025-04-21,15,19,34,14.0
